Aadhaar Number,Name,Date of Birth,Gender,City,State,Phone Number,Email
627180000000,Ahana  Chauhan,2014-09-25,Male,Guntur,Assam,1283618774,aainagade@gmail.com
627355000000,Adira Madan,2001-11-06,Male,Kadapa,Andhra Pradesh,9234493236,cvirk@yahoo.com
868940000000,Misha Sani,2022-12-16,Other,Guntur,Meghalaya,919973000000,parinaaz66@srivastava-kohli.com
174596000000,Nirvi Ray,1939-01-08,Male,Dehradun,Tamil Nadu,8047807023,kaira62@yahoo.com
296160000000,Gatik Dass,2020-07-05,Male,Yamunanagar,Punjab,715244929,cdugar@sandal-venkataraman.biz
172459000000,Tanya Rana,2019-02-15,Female,Nellore,Goa,8581754812,bedicharvi@gmail.com
188301000000,Taran Dar,1962-05-30,Other,Amroha,Chhattisgarh,4892611462,tiyatank@raj.com
175862000000,Bhavin Krishna,1946-07-29,Female,Danapur,Rajasthan,3857071354,ahanda@sant-kar.org
996629000000,Oorja Brahmbhatt,1966-06-11,Other,Bhiwandi,Uttarakhand,7757836740,tushar58@chatterjee-sinha.com
225291000000,Pari Kalla,1944-01-12,Male,Vellore,Manipur,1928158589,aarnagade@thaman-vig.com
889942000000,Nishith Sankar,1928-01-31,Female,Raipur,Maharashtra,2347783316,suhanamangat@din.com
337065000000,Nishith Sandhu,1987-10-13,Male,Thrissur,Arunachal Pradesh,914364000000,purab03@gmail.com
738016000000,Vritika Andra,2009-09-26,Female,Visakhapatnam,Andhra Pradesh,408403016,vohraheer@sani.com
33762392220,Anika Bala,1961-07-09,Other,Thane,Arunachal Pradesh,8527106495,jayanmanda@bali.org
597958000000,Vihaan Roy,1943-11-30,Other,Dibrugarh,Manipur,910838000000,ivana07@saini-behl.com
482347000000,Mishti Lal,1990-01-16,Female,Bathinda,Tripura,2682940058,arhaanbarman@singh.com
282903000000,Anaya Gala,1992-09-02,Female,Tiruvottiyur,Odisha,8428144968,dhegde@ratti.com
521176000000,Jayesh Saini,1990-06-19,Male,Gopalpur,Chhattisgarh,919759000000,miraya98@gmail.com
15657020119,Navya Khanna,1987-10-29,Male,Davanagere,Manipur,915340000000,schauhan@chadha.org
384555000000,Armaan Bath,2014-01-27,Other,Ghaziabad,Kerala,1947802360,singhreyansh@yahoo.com
728079000000,Priyansh Dar,1979-01-10,Other,Chapra,Manipur,2845236742,kavyagala@dayal-barad.com
359382000000,Akarsh Chada,1959-06-05,Male,Patiala,Punjab,914379000000,arnavben@kunda.biz
644268000000,Vidur Gokhale,1929-03-03,Other,Munger,Arunachal Pradesh,7908030968,samarthwarrior@samra.com
456990000000,Hiran Barman,1979-05-02,Male,Baranagar,Maharashtra,8540419585,ratikota@yahoo.com
239699000000,Vidur Comar,1998-08-26,Female,Amravati,Tripura,918159000000,shloksachdeva@balay.com
806520000000,Anika Barad,1989-02-06,Female,Kishanganj,Jharkhand,5798130961,mishtisaraf@gmail.com
766849000000,Inaaya  Anne,1954-03-12,Other,Dewas,Uttarakhand,4115643757,arhaan19@kari.com
362690000000,Shaan Tripathi,1948-01-02,Male,Ambala,Sikkim,918231000000,hridaan27@yahoo.com
53370449855,Inaaya  Shah,1977-08-13,Other,Burhanpur,Maharashtra,2599737340,mahalyakshit@yahoo.com
266414000000,Jivika Ramakrishnan,1984-06-30,Other,Salem,Meghalaya,918319000000,edwinraghav@dutta.com
749846000000,Jhanvi Lala,1923-03-27,Female,Bijapur,Manipur,919231000000,ndhar@sangha.com
513119000000,Badal Kalla,1933-08-28,Male,Nashik,West Bengal,7295982815,hariritvik@gmail.com
138908000000,Ritvik Lad,2015-06-04,Male,Pudukkottai,Uttarakhand,159104653,sekhonehsaan@hotmail.com
66120468333,Kiara Vaidya,1992-11-19,Other,Guwahati,Maharashtra,1463324318,cben@bahl.net
416874000000,Amani Tella,1992-04-28,Male,Bikaner,Himachal Pradesh,9312200867,darshittoor@gmail.com
435205000000,Indrans Krishna,1991-06-16,Male,Kulti,Uttarakhand,1030071235,mahika38@hotmail.com
828815000000,Badal Keer,2015-03-24,Male,Faridabad,Tamil Nadu,8752169280,uvirk@gmail.com
544501000000,Bhavin Hari,1939-03-03,Male,Ambattur,Punjab,7894002257,ojasdoctor@banik.com
324278000000,Shalv Bhatt,1963-02-17,Male,Hubli–Dharwad,Haryana,7296875684,sumer97@bava.com
655031000000,Eshani Shroff,1954-06-08,Female,Bidar,Nagaland,3366510028,sanarege@yahoo.com
652129000000,Jayesh Borah,1958-08-15,Female,Ahmedabad,Haryana,9243566931,lavanyatank@gmail.com
625569000000,Saira Bains,1986-07-21,Female,Rohtak,Chhattisgarh,5745639560,raniadasgupta@hotmail.com
622066000000,Umang Basu,1991-05-22,Other,Chennai,Bihar,913619000000,anya89@yahoo.com
56720206666,Alisha Sood,1943-03-29,Male,Bhalswa Jahangir Pur,Kerala,4730271011,indranilcomar@dara-varughese.com
331529000000,Indranil Gade,1992-02-16,Female,Sambhal,Assam,9170460191,irataneja@yahoo.com
66571710295,Darshit De,1944-03-14,Other,Madurai,Karnataka,369052066,baiju07@yahoo.com
392087000000,Nirvaan Ahluwalia,2011-10-19,Male,Kadapa,Himachal Pradesh,5709528617,echoudhury@hotmail.com
926613000000,Prisha Thakur,2005-03-15,Male,New Delhi,Telangana,915682000000,anvi46@yahoo.com
290162000000,Biju Ramachandran,1934-04-08,Other,Gangtok,Gujarat,9246180788,inaaya-59@hotmail.com
422717000000,Alisha Luthra,1971-01-20,Female,Guntakal,Sikkim,6856909840,swamymohanlal@hotmail.com
433896000000,Faiyaz Grover,1950-06-09,Male,Gangtok,Odisha,5487698132,aradhya45@gara-rau.info
484085000000,Yashvi Srivastava,1945-11-16,Female,Sambalpur,West Bengal,913781000000,saanvi91@hotmail.com
177940000000,Akarsh Bawa,1946-03-20,Male,Tenali,Nagaland,4469929126,lganguly@sharma.com
196751000000,Zoya Kaur,2016-11-29,Female,Kadapa,Manipur,917814000000,warrioroorja@gmail.com
453558000000,Khushi Ramanathan,1998-07-08,Male,Bettiah,Punjab,913187000000,romil41@thaman-dutt.info
254398000000,Ojas Kaul,2003-07-28,Male,Motihari,Manipur,7628027604,gokul96@lad-varghese.com
39547964573,Romil Dhingra,1960-08-14,Other,Parbhani,Manipur,917505000000,yguha@randhawa.info
945132000000,Ehsaan Tella,2001-06-27,Other,Shivpuri,Goa,913326000000,goyalkimaya@hotmail.com
286096000000,Riya Dhawan,1938-12-29,Male,Ujjain,Punjab,4068696619,rcomar@yahoo.com
847584000000,Jayant Tiwari,1963-07-08,Male,Serampore,Himachal Pradesh,8668290688,dattayakshit@yahoo.com
183524000000,Divyansh Shan,1924-05-21,Other,Vellore,Tripura,9091457406,edin@yahoo.com
489327000000,Ryan Agrawal,1945-03-15,Male,Buxar,Chhattisgarh,2940590612,soodmiraya@badal.com
391857000000,Urvi Iyer,1941-05-20,Male,Bidhannagar,Mizoram,5424435059,rattamannat@walia.com
736075000000,Tara Divan,1940-01-26,Female,Bhalswa Jahangir Pur,Sikkim,4007391160,pihusheth@chaudhuri.org
863958000000,Manjari Sachdev,1961-10-12,Female,Lucknow,Haryana,910224000000,lokesaksham@lanka.com
728070000000,Indrajit Gola,2010-06-02,Male,Ozhukarai,West Bengal,3671193083,khuranakimaya@vig-sastry.com
43391576763,Tiya Dayal,2017-04-18,Female,Dibrugarh,Uttarakhand,917277000000,ravimanjari@basu.biz
801631000000,Purab Kade,1967-02-28,Other,Lucknow,Uttar Pradesh,914671000000,tanya71@issac.biz
528178000000,Aayush Kakar,1952-09-02,Female,Farrukhabad,Tripura,8933134151,prerak88@gara.com
378864000000,Alia Sodhi,2000-12-16,Female,Warangal,Tamil Nadu,914207000000,jhanvi77@rajan-dalia.info
788564000000,Nirvi Soni,1975-02-23,Male,Bareilly,Punjab,1795543025,gokhaleindranil@karpe.com
123825000000,Misha Gandhi,1935-01-29,Male,Chinsurah,Goa,9213538685,raunakraja@yahoo.com
105622000000,Shalv Koshy,1949-02-16,Other,Gopalpur,Assam,657795862,yashvi10@sidhu-bumb.com
585400000000,Indrajit Srivastava,2011-10-07,Female,Ghaziabad,Himachal Pradesh,290475775,himmat80@chandra.biz
977709000000,Reyansh Aggarwal,1991-02-14,Other,Hapur,Bihar,918566000000,adivan@gmail.com
433270000000,Devansh Jhaveri,1928-03-07,Male,Tezpur,Kerala,289434093,tkrishna@yahoo.com
20297934734,Ishaan Sem,1942-12-06,Female,Raurkela Industrial Township,Assam,910750000000,semtushar@dasgupta.com
476100000000,Samarth Kale,1990-03-26,Other,Dhule,Tamil Nadu,915672000000,kchahal@karnik-sama.com
153327000000,Biju Singhal,1995-09-20,Male,Jalgaon,Tamil Nadu,919514000000,sbatta@kakar.biz
160885000000,Jayesh Warrior,1968-06-24,Male,Guwahati,Himachal Pradesh,3277718858,karnikvritika@goda.info
946577000000,Elakshi Chowdhury,1944-04-13,Male,South Dumdum,Karnataka,5425801088,samar06@chaudhary.com
995163000000,Mohanlal Sehgal,2002-06-22,Other,Panchkula,Meghalaya,916795000000,myrabatra@garde.info
55047434560,Akarsh Madan,1997-09-23,Other,Rohtak,Arunachal Pradesh,1386928979,rati89@jhaveri.com
948417000000,Nitya Sethi,2000-03-20,Other,Tumkur,Haryana,919528000000,vsubramaniam@yahoo.com
64921987587,Rasha Rao,1969-08-13,Male,Sultan Pur Majra,Assam,5007771595,biradvik@kuruvilla-vohra.com
375446000000,Nehmat Tata,1934-11-05,Female,Thoothukudi,Mizoram,911974000000,hanshratti@garde.info
308748000000,Aradhya Singhal,1939-10-31,Other,Naihati,Meghalaya,1733417531,kanavsanghvi@yahoo.com
166404000000,Eshani Dua,1955-11-27,Female,Gangtok,Tripura,919065000000,shanaya56@hayer-thaman.net
717674000000,Himmat Swamy,1980-05-08,Other,Asansol,Punjab,919037000000,sana86@bhavsar.biz
